"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00031038,-0.00031038,7.5565e-021,1.523,1,0,49.5,49.5,-1
-9.7435e-005,-9.7435e-005,-1.7015e-007,1.523,1,0.00099999,49.5,49.5,-0.999
0.00011551,0.00011551,-3.4031e-007,1.523,1,0.002,49.5,49.5,-0.998
0.00032846,0.00032846,-5.1047e-007,1.523,1,0.003,49.5,49.5,-0.997
0.0005414,0.0005414,-6.8063e-007,1.523,1,0.004,49.5,49.5,-0.996
0.00075435,0.00075435,-8.5078e-007,1.523,1,0.005,49.5,49.5,-0.995
0.00096729,0.00096729,-1.0209e-006,1.523,1,0.006,49.5,49.5,-0.994
0.0011802,0.0011802,-1.1911e-006,1.523,1,0.007,49.5,49.5,-0.993
0.0013932,0.0013932,-1.3613e-006,1.523,1,0.008,49.5,49.5,-0.992
0.0016061,0.0016061,-1.5314e-006,1.523,1,0.009,49.5,49.5,-0.991
0.0018191,0.0018191,-1.7016e-006,1.523,1,0.01,49.5,49.5,-0.99
0.002032,0.002032,-1.8717e-006,1.523,1,0.011,49.5,49.5,-0.989
0.002245,0.002245,-2.0419e-006,1.523,1,0.012,49.5,49.5,-0.988
0.0024579,0.0024579,-2.212e-006,1.523,1,0.013,49.5,49.5,-0.987
0.0026709,0.0026709,-2.3822e-006,1.523,1,0.014,49.5,49.5,-0.986
0.0028838,0.0028838,-2.5523e-006,1.523,1,0.015,49.5,49.5,-0.985
0.0030967,0.0030967,-2.7225e-006,1.523,1,0.016,49.5,49.5,-0.984
0.0033097,0.0033097,-2.8927e-006,1.523,1,0.017,49.5,49.5,-0.983
0.0035226,0.0035226,-3.0628e-006,1.523,1,0.018,49.5,49.5,-0.982
0.0037356,0.0037356,-3.233e-006,1.523,1,0.019,49.5,49.5,-0.981
0.0039485,0.0039485,-3.4031e-006,1.523,1,0.02,49.5,49.5,-0.98
0.0041615,0.0041615,-3.5733e-006,1.523,1,0.021,49.5,49.5,-0.979
0.0043744,0.0043744,-3.7434e-006,1.523,1,0.022,49.5,49.5,-0.978
0.0045874,0.0045874,-3.9136e-006,1.523,1,0.023,49.5,49.5,-0.977
0.0048003,0.0048003,-4.0838e-006,1.523,1,0.024,49.5,49.5,-0.976
0.0050132,0.0050132,-4.2539e-006,1.523,1,0.025,49.5,49.5,-0.975
0.0052262,0.0052262,-4.4241e-006,1.523,1,0.026,49.5,49.5,-0.974
0.0054391,0.0054391,-4.5942e-006,1.523,1,0.027,49.5,49.5,-0.973
0.0056521,0.0056521,-4.7644e-006,1.523,1,0.028,49.5,49.5,-0.972
0.005865,0.005865,-4.9345e-006,1.523,1,0.029,49.5,49.5,-0.971
0.006078,0.006078,-5.1047e-006,1.523,1,0.03,49.5,49.5,-0.97
0.0062909,0.0062909,-5.2749e-006,1.523,1,0.031,49.5,49.5,-0.969
0.0065039,0.0065039,-5.445e-006,1.523,1,0.032,49.5,49.5,-0.968
0.0067168,0.0067168,-5.6152e-006,1.523,1,0.033,49.5,49.5,-0.967
0.0069298,0.0069298,-5.7853e-006,1.523,1,0.034,49.5,49.5,-0.966
0.0071427,0.0071427,-5.9555e-006,1.523,1,0.035,49.5,49.5,-0.965
0.0073556,0.0073556,-6.1256e-006,1.523,1,0.036,49.5,49.5,-0.964
0.0075686,0.0075686,-6.2958e-006,1.523,1,0.037,49.5,49.5,-0.963
0.0077815,0.0077815,-6.466e-006,1.523,1,0.038,49.5,49.5,-0.962
0.0079945,0.0079945,-6.6361e-006,1.523,1,0.039,49.5,49.5,-0.961
0.0082074,0.0082074,-6.8063e-006,1.523,1,0.04,49.5,49.5,-0.96
0.0084204,0.0084204,-6.9764e-006,1.523,1,0.041,49.5,49.5,-0.959
0.0086333,0.0086333,-7.1466e-006,1.523,1,0.042,49.5,49.5,-0.958
0.0088463,0.0088463,-7.3167e-006,1.523,1,0.043,49.5,49.5,-0.957
0.0090592,0.0090592,-7.4869e-006,1.523,1,0.044,49.5,49.5,-0.956
0.0092722,0.0092722,-7.6571e-006,1.523,1,0.045,49.5,49.5,-0.955
0.0094851,0.0094851,-7.8272e-006,1.523,1,0.046,49.5,49.5,-0.954
0.009698,0.009698,-7.9974e-006,1.523,1,0.047,49.5,49.5,-0.953
0.009911,0.009911,-8.1675e-006,1.523,1,0.048,49.5,49.5,-0.952
0.010124,0.010124,-8.3377e-006,1.523,1,0.049,49.5,49.5,-0.951
0.010337,0.010337,-8.5078e-006,1.523,1,0.05,49.5,49.5,-0.95
0.01055,0.01055,-8.678e-006,1.523,1,0.051,49.5,49.5,-0.949
0.010763,0.010763,-8.8481e-006,1.523,1,0.052,49.5,49.5,-0.948
0.010976,0.010976,-9.0183e-006,1.523,1,0.053,49.5,49.5,-0.947
0.011189,0.011189,-9.1885e-006,1.523,1,0.054,49.5,49.5,-0.946
0.011402,0.011402,-9.3586e-006,1.523,1,0.055,49.5,49.5,-0.945
0.011615,0.011615,-9.5288e-006,1.523,1,0.056,49.5,49.5,-0.944
0.011827,0.011827,-9.6989e-006,1.523,1,0.057,49.5,49.5,-0.943
0.01204,0.01204,-9.8691e-006,1.523,1,0.058,49.5,49.5,-0.942
0.012253,0.012253,-1.0039e-005,1.523,1,0.059,49.5,49.5,-0.941
0.012466,0.012466,-1.0209e-005,1.523,1,0.06,49.5,49.5,-0.94
0.012679,0.012679,-1.038e-005,1.523,1,0.061,49.5,49.5,-0.939
0.012892,0.012892,-1.055e-005,1.523,1,0.062,49.5,49.5,-0.938
0.013105,0.013105,-1.072e-005,1.523,1,0.063,49.5,49.5,-0.937
0.013318,0.013318,-1.089e-005,1.523,1,0.064,49.5,49.5,-0.936
0.013531,0.013531,-1.106e-005,1.523,1,0.065,49.5,49.5,-0.935
0.013744,0.013744,-1.123e-005,1.523,1,0.066,49.5,49.5,-0.934
0.013957,0.013957,-1.14e-005,1.523,1,0.067,49.5,49.5,-0.933
0.01417,0.01417,-1.1571e-005,1.523,1,0.068,49.5,49.5,-0.932
0.014383,0.014383,-1.1741e-005,1.523,1,0.069,49.5,49.5,-0.931
0.014596,0.014596,-1.1911e-005,1.523,1,0.07,49.5,49.5,-0.93
0.014809,0.014809,-1.2081e-005,1.523,1,0.071,49.5,49.5,-0.929
0.015022,0.015022,-1.2251e-005,1.523,1,0.072,49.5,49.5,-0.928
0.015235,0.015235,-1.2421e-005,1.523,1,0.073,49.5,49.5,-0.927
0.015448,0.015448,-1.2592e-005,1.523,1,0.074,49.5,49.5,-0.926
0.015661,0.015661,-1.2762e-005,1.523,1,0.075,49.5,49.5,-0.925
0.015873,0.015873,-1.2932e-005,1.523,1,0.076,49.5,49.5,-0.924
0.016086,0.016086,-1.3102e-005,1.523,1,0.077,49.5,49.5,-0.923
0.016299,0.016299,-1.3272e-005,1.523,1,0.078,49.5,49.5,-0.922
0.016512,0.016512,-1.3442e-005,1.523,1,0.079,49.5,49.5,-0.921
0.016725,0.016725,-1.3613e-005,1.523,1,0.08,49.5,49.5,-0.92
0.016938,0.016938,-1.3783e-005,1.523,1,0.081,49.5,49.5,-0.919
0.017151,0.017151,-1.3953e-005,1.523,1,0.082,49.5,49.5,-0.918
0.017364,0.017364,-1.4123e-005,1.523,1,0.083,49.5,49.5,-0.917
0.017577,0.017577,-1.4293e-005,1.523,1,0.084,49.5,49.5,-0.916
0.01779,0.01779,-1.4463e-005,1.523,1,0.085,49.5,49.5,-0.915
0.018003,0.018003,-1.4633e-005,1.523,1,0.086,49.5,49.5,-0.914
0.018216,0.018216,-1.4804e-005,1.523,1,0.087,49.5,49.5,-0.913
0.018429,0.018429,-1.4974e-005,1.523,1,0.088,49.5,49.5,-0.912
0.018642,0.018642,-1.5144e-005,1.523,1,0.089,49.5,49.5,-0.911
0.018855,0.018855,-1.5314e-005,1.523,1,0.09,49.5,49.5,-0.91
0.019068,0.019068,-1.5484e-005,1.523,1,0.091,49.5,49.5,-0.909
0.019281,0.019281,-1.5654e-005,1.523,1,0.092,49.5,49.5,-0.908
0.019494,0.019494,-1.5825e-005,1.523,1,0.093,49.5,49.5,-0.907
0.019706,0.019706,-1.5995e-005,1.523,1,0.094,49.5,49.5,-0.906
0.019919,0.019919,-1.6165e-005,1.523,1,0.095,49.5,49.5,-0.905
0.020132,0.020132,-1.6335e-005,1.523,1,0.096,49.5,49.5,-0.904
0.020345,0.020345,-1.6505e-005,1.523,1,0.097,49.5,49.5,-0.903
0.020558,0.020558,-1.6675e-005,1.523,1,0.098,49.5,49.5,-0.902
0.020771,0.020771,-1.6846e-005,1.523,1,0.099,49.5,49.5,-0.901
0.020984,0.020984,-1.7016e-005,1.523,1,0.1,49.5,49.5,-0.9
0.021197,0.021197,-1.7186e-005,1.523,1,0.101,49.5,49.5,-0.899
0.02141,0.02141,-1.7356e-005,1.523,1,0.102,49.5,49.5,-0.898
0.021623,0.021623,-1.7526e-005,1.523,1,0.103,49.5,49.5,-0.897
0.021836,0.021836,-1.7696e-005,1.523,1,0.104,49.5,49.5,-0.896
0.022049,0.022049,-1.7866e-005,1.523,1,0.105,49.5,49.5,-0.895
0.022262,0.022262,-1.8037e-005,1.523,1,0.106,49.5,49.5,-0.894
0.022475,0.022475,-1.8207e-005,1.523,1,0.107,49.5,49.5,-0.893
0.022688,0.022688,-1.8377e-005,1.523,1,0.108,49.5,49.5,-0.892
0.022901,0.022901,-1.8547e-005,1.523,1,0.109,49.5,49.5,-0.891
0.023114,0.023114,-1.8717e-005,1.523,1,0.11,49.5,49.5,-0.89
0.023327,0.023327,-1.8887e-005,1.523,1,0.111,49.5,49.5,-0.889
0.023539,0.023539,-1.9058e-005,1.523,1,0.112,49.5,49.5,-0.888
0.023752,0.023752,-1.9228e-005,1.523,1,0.113,49.5,49.5,-0.887
0.023965,0.023965,-1.9398e-005,1.523,1,0.114,49.5,49.5,-0.886
0.024178,0.024178,-1.9568e-005,1.523,1,0.115,49.5,49.5,-0.885
0.024391,0.024391,-1.9738e-005,1.523,1,0.116,49.5,49.5,-0.884
0.024604,0.024604,-1.9908e-005,1.523,1,0.117,49.5,49.5,-0.883
0.024817,0.024817,-2.0078e-005,1.523,1,0.118,49.5,49.5,-0.882
0.02503,0.02503,-2.0249e-005,1.523,1,0.119,49.5,49.5,-0.881
0.025243,0.025243,-2.0419e-005,1.523,1,0.12,49.5,49.5,-0.88
0.025456,0.025456,-2.0589e-005,1.523,1,0.121,49.5,49.5,-0.879
0.025669,0.025669,-2.0759e-005,1.523,1,0.122,49.5,49.5,-0.878
0.025882,0.025882,-2.0929e-005,1.523,1,0.123,49.5,49.5,-0.877
0.026095,0.026095,-2.1099e-005,1.523,1,0.124,49.5,49.5,-0.876
0.026308,0.026308,-2.127e-005,1.523,1,0.125,49.5,49.5,-0.875
0.026521,0.026521,-2.144e-005,1.523,1,0.126,49.5,49.5,-0.874
0.026734,0.026734,-2.161e-005,1.523,1,0.127,49.5,49.5,-0.873
0.026947,0.026947,-2.178e-005,1.523,1,0.128,49.5,49.5,-0.872
0.02716,0.02716,-2.195e-005,1.523,1,0.129,49.5,49.5,-0.871
0.027372,0.027372,-2.212e-005,1.523,1,0.13,49.5,49.5,-0.87
0.027585,0.027585,-2.2291e-005,1.523,1,0.131,49.5,49.5,-0.869
0.027798,0.027798,-2.2461e-005,1.523,1,0.132,49.5,49.5,-0.868
0.028011,0.028011,-2.2631e-005,1.523,1,0.133,49.5,49.5,-0.867
0.028224,0.028224,-2.2801e-005,1.523,1,0.134,49.5,49.5,-0.866
0.028437,0.028437,-2.2971e-005,1.523,1,0.135,49.5,49.5,-0.865
0.02865,0.02865,-2.3141e-005,1.523,1,0.136,49.5,49.5,-0.864
0.028863,0.028863,-2.3311e-005,1.523,1,0.137,49.5,49.5,-0.863
0.029076,0.029076,-2.3482e-005,1.523,1,0.138,49.5,49.5,-0.862
0.029289,0.029289,-2.3652e-005,1.523,1,0.139,49.5,49.5,-0.861
0.029502,0.029502,-2.3822e-005,1.523,1,0.14,49.5,49.5,-0.86
0.029715,0.029715,-2.3992e-005,1.523,1,0.141,49.5,49.5,-0.859
0.029928,0.029928,-2.4162e-005,1.523,1,0.142,49.5,49.5,-0.858
0.030141,0.030141,-2.4332e-005,1.523,1,0.143,49.5,49.5,-0.857
0.030354,0.030354,-2.4503e-005,1.523,1,0.144,49.5,49.5,-0.856
0.030567,0.030567,-2.4673e-005,1.523,1,0.145,49.5,49.5,-0.855
0.03078,0.03078,-2.4843e-005,1.523,1,0.146,49.5,49.5,-0.854
0.030993,0.030993,-2.5013e-005,1.523,1,0.147,49.5,49.5,-0.853
0.031205,0.031205,-2.5183e-005,1.523,1,0.148,49.5,49.5,-0.852
0.031418,0.031418,-2.5353e-005,1.523,1,0.149,49.5,49.5,-0.851
0.031631,0.031631,-2.5523e-005,1.523,1,0.15,49.5,49.5,-0.85
0.031844,0.031844,-2.5694e-005,1.523,1,0.151,49.5,49.5,-0.849
0.032057,0.032057,-2.5864e-005,1.523,1,0.152,49.5,49.5,-0.848
0.03227,0.03227,-2.6034e-005,1.523,1,0.153,49.5,49.5,-0.847
0.032483,0.032483,-2.6204e-005,1.523,1,0.154,49.5,49.5,-0.846
0.032696,0.032696,-2.6374e-005,1.523,1,0.155,49.5,49.5,-0.845
