"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.020678,1,0,0,-5,-1
0.021098,1,0.00099999,0,-5,-0.999
0.021517,1,0.002,0,-5,-0.998
0.021936,1,0.003,0,-5,-0.997
0.022355,1,0.004,0,-5,-0.996
0.022774,1,0.005,0,-5,-0.995
0.023194,1,0.006,0,-5,-0.994
0.023613,1,0.007,0,-5,-0.993
0.024032,1,0.008,0,-5,-0.992
0.024451,1,0.009,0,-5,-0.991
0.024871,1,0.01,0,-5,-0.99
0.02529,1,0.011,0,-5,-0.989
0.025709,1,0.012,0,-5,-0.988
0.026128,1,0.013,0,-5,-0.987
0.026548,1,0.014,0,-5,-0.986
0.026967,1,0.015,0,-5,-0.985
0.027386,1,0.016,0,-5,-0.984
0.027805,1,0.017,0,-5,-0.983
0.028225,1,0.018,0,-5,-0.982
0.028644,1,0.019,0,-5,-0.981
0.029063,1,0.02,0,-5,-0.98
0.029482,1,0.021,0,-5,-0.979
0.029902,1,0.022,0,-5,-0.978
0.030321,1,0.023,0,-5,-0.977
0.03074,1,0.024,0,-5,-0.976
0.031159,1,0.025,0,-5,-0.975
0.031579,1,0.026,0,-5,-0.974
0.031998,1,0.027,0,-5,-0.973
0.032417,1,0.028,0,-5,-0.972
0.032836,1,0.029,0,-5,-0.971
0.033255,1,0.03,0,-5,-0.97
0.033675,1,0.031,0,-5,-0.969
0.034094,1,0.032,0,-5,-0.968
0.034513,1,0.033,0,-5,-0.967
0.034932,1,0.034,0,-5,-0.966
0.035352,1,0.035,0,-5,-0.965
0.035771,1,0.036,0,-5,-0.964
0.03619,1,0.037,0,-5,-0.963
0.036609,1,0.038,0,-5,-0.962
0.037029,1,0.039,0,-5,-0.961
0.037448,1,0.04,0,-5,-0.96
0.037867,1,0.041,0,-5,-0.959
0.038286,1,0.042,0,-5,-0.958
0.038706,1,0.043,0,-5,-0.957
0.039125,1,0.044,0,-5,-0.956
0.039544,1,0.045,0,-5,-0.955
0.039963,1,0.046,0,-5,-0.954
0.040383,1,0.047,0,-5,-0.953
0.040802,1,0.048,0,-5,-0.952
0.041221,1,0.049,0,-5,-0.951
0.041557,1,0.05,0,-5,-0.95
0.041933,1,0.051,0,-5,-0.949
0.042309,1,0.052,0,-5,-0.948
0.042685,1,0.053,0,-5,-0.947
0.043062,1,0.054,0,-5,-0.946
0.043438,1,0.055,0,-5,-0.945
0.043814,1,0.056,0,-5,-0.944
0.04419,1,0.057,0,-5,-0.943
0.044566,1,0.058,0,-5,-0.942
0.044943,1,0.059,0,-5,-0.941
0.045319,1,0.06,0,-5,-0.94
0.045695,1,0.061,0,-5,-0.939
0.046071,1,0.062,0,-5,-0.938
0.046447,1,0.063,0,-5,-0.937
0.046824,1,0.064,0,-5,-0.936
0.0472,1,0.065,0,-5,-0.935
0.047576,1,0.066,0,-5,-0.934
0.047952,1,0.067,0,-5,-0.933
0.048328,1,0.068,0,-5,-0.932
0.048705,1,0.069,0,-5,-0.931
0.049081,1,0.07,0,-5,-0.93
0.049457,1,0.071,0,-5,-0.929
0.049833,1,0.072,0,-5,-0.928
0.050209,1,0.073,0,-5,-0.927
0.050586,1,0.074,0,-5,-0.926
0.050962,1,0.075,0,-5,-0.925
0.051338,1,0.076,0,-5,-0.924
0.051714,1,0.077,0,-5,-0.923
0.05209,1,0.078,0,-5,-0.922
0.052467,1,0.079,0,-5,-0.921
0.052843,1,0.08,0,-5,-0.92
0.053219,1,0.081,0,-5,-0.919
0.053595,1,0.082,0,-5,-0.918
0.053971,1,0.083,0,-5,-0.917
0.054348,1,0.084,0,-5,-0.916
0.054724,1,0.085,0,-5,-0.915
0.0551,1,0.086,0,-5,-0.914
0.055476,1,0.087,0,-5,-0.913
0.055852,1,0.088,0,-5,-0.912
0.056229,1,0.089,0,-5,-0.911
0.056605,1,0.09,0,-5,-0.91
0.056981,1,0.091,0,-5,-0.909
0.057357,1,0.092,0,-5,-0.908
0.057733,1,0.093,0,-5,-0.907
0.05811,1,0.094,0,-5,-0.906
0.058486,1,0.095,0,-5,-0.905
0.058862,1,0.096,0,-5,-0.904
0.059238,1,0.097,0,-5,-0.903
0.059614,1,0.098,0,-5,-0.902
0.059991,1,0.099,0,-5,-0.901
0.060366,1,0.1,0,-5,-0.9
0.060923,1,0.101,0,-5,-0.899
0.061481,1,0.102,0,-5,-0.898
0.062038,1,0.103,0,-5,-0.897
0.062595,1,0.104,0,-5,-0.896
0.063152,1,0.105,0,-5,-0.895
0.063709,1,0.106,0,-5,-0.894
0.064266,1,0.107,0,-5,-0.893
0.064823,1,0.108,0,-5,-0.892
0.065381,1,0.109,0,-5,-0.891
0.065938,1,0.11,0,-5,-0.89
0.066495,1,0.111,0,-5,-0.889
0.067052,1,0.112,0,-5,-0.888
0.067609,1,0.113,0,-5,-0.887
0.068166,1,0.114,0,-5,-0.886
0.068723,1,0.115,0,-5,-0.885
0.06928,1,0.116,0,-5,-0.884
0.069838,1,0.117,0,-5,-0.883
0.070395,1,0.118,0,-5,-0.882
0.070952,1,0.119,0,-5,-0.881
0.071509,1,0.12,0,-5,-0.88
0.072066,1,0.121,0,-5,-0.879
0.072623,1,0.122,0,-5,-0.878
0.07318,1,0.123,0,-5,-0.877
0.073738,1,0.124,0,-5,-0.876
0.074295,1,0.125,0,-5,-0.875
0.074852,1,0.126,0,-5,-0.874
0.075409,1,0.127,0,-5,-0.873
0.075966,1,0.128,0,-5,-0.872
0.076523,1,0.129,0,-5,-0.871
0.07708,1,0.13,0,-5,-0.87
0.077638,1,0.131,0,-5,-0.869
0.078195,1,0.132,0,-5,-0.868
0.078752,1,0.133,0,-5,-0.867
0.079309,1,0.134,0,-5,-0.866
0.079866,1,0.135,0,-5,-0.865
0.080423,1,0.136,0,-5,-0.864
0.08098,1,0.137,0,-5,-0.863
0.081538,1,0.138,0,-5,-0.862
0.082095,1,0.139,0,-5,-0.861
0.082652,1,0.14,0,-5,-0.86
0.083209,1,0.141,0,-5,-0.859
0.083766,1,0.142,0,-5,-0.858
0.084323,1,0.143,0,-5,-0.857
0.08488,1,0.144,0,-5,-0.856
0.085438,1,0.145,0,-5,-0.855
0.085995,1,0.146,0,-5,-0.854
0.086552,1,0.147,0,-5,-0.853
0.087109,1,0.148,0,-5,-0.852
0.087666,1,0.149,0,-5,-0.851
0.088226,1,0.15,0,-5,-0.85
0.088956,1,0.151,0,-5,-0.849
0.089685,1,0.152,0,-5,-0.848
0.090415,1,0.153,0,-5,-0.847
0.091144,1,0.154,0,-5,-0.846
0.091873,1,0.155,0,-5,-0.845
0.092603,1,0.156,0,-5,-0.844
0.093332,1,0.157,0,-5,-0.843
0.094062,1,0.158,0,-5,-0.842
0.094791,1,0.159,0,-5,-0.841
0.095521,1,0.16,0,-5,-0.84
0.09625,1,0.161,0,-5,-0.839
0.09698,1,0.162,0,-5,-0.838
0.097709,1,0.163,0,-5,-0.837
0.098439,1,0.164,0,-5,-0.836
0.099168,1,0.165,0,-5,-0.835
0.099898,1,0.166,0,-5,-0.834
0.10063,1,0.167,0,-5,-0.833
0.10136,1,0.168,0,-5,-0.832
0.10209,1,0.169,0,-5,-0.831
0.10282,1,0.17,0,-5,-0.83
0.10355,1,0.171,0,-5,-0.829
0.10427,1,0.172,0,-5,-0.828
0.105,1,0.173,0,-5,-0.827
0.10573,1,0.174,0,-5,-0.826
0.10646,1,0.175,0,-5,-0.825
0.10719,1,0.176,0,-5,-0.824
0.10792,1,0.177,0,-5,-0.823
0.10865,1,0.178,0,-5,-0.822
0.10938,1,0.179,0,-5,-0.821
0.11011,1,0.18,0,-5,-0.82
0.11084,1,0.181,0,-5,-0.819
0.11157,1,0.182,0,-5,-0.818
0.1123,1,0.183,0,-5,-0.817
0.11303,1,0.184,0,-5,-0.816
0.11376,1,0.185,0,-5,-0.815
0.11449,1,0.186,0,-5,-0.814
0.11522,1,0.187,0,-5,-0.813
0.11595,1,0.188,0,-5,-0.812
0.11668,1,0.189,0,-5,-0.811
0.11741,1,0.19,0,-5,-0.81
0.11814,1,0.191,0,-5,-0.809
0.11886,1,0.192,0,-5,-0.808
0.11959,1,0.193,0,-5,-0.807
0.12032,1,0.194,0,-5,-0.806
0.12105,1,0.195,0,-5,-0.805
0.12178,1,0.196,0,-5,-0.804
0.12251,1,0.197,0,-5,-0.803
0.12324,1,0.198,0,-5,-0.802
0.12397,1,0.199,0,-5,-0.801
0.12471,1,0.2,0,-5,-0.8
0.12557,1,0.201,0,-5,-0.799
0.12644,1,0.202,0,-5,-0.798
0.1273,1,0.203,0,-5,-0.797
0.12817,1,0.204,0,-5,-0.796
0.12903,1,0.205,0,-5,-0.795
0.1299,1,0.206,0,-5,-0.794
0.13076,1,0.207,0,-5,-0.793
0.13163,1,0.208,0,-5,-0.792
0.13249,1,0.209,0,-5,-0.791
0.13336,1,0.21,0,-5,-0.79
0.13422,1,0.211,0,-5,-0.789
0.13509,1,0.212,0,-5,-0.788
0.13595,1,0.213,0,-5,-0.787
0.13682,1,0.214,0,-5,-0.786
0.13768,1,0.215,0,-5,-0.785
0.13855,1,0.216,0,-5,-0.784
0.13941,1,0.217,0,-5,-0.783
0.14028,1,0.218,0,-5,-0.782
0.14114,1,0.219,0,-5,-0.781
0.14201,1,0.22,0,-5,-0.78
0.14287,1,0.221,0,-5,-0.779
0.14374,1,0.222,0,-5,-0.778
0.1446,1,0.223,0,-5,-0.777
0.14547,1,0.224,0,-5,-0.776
0.14633,1,0.225,0,-5,-0.775
0.1472,1,0.226,0,-5,-0.774
0.14806,1,0.227,0,-5,-0.773
0.14893,1,0.228,0,-5,-0.772
0.14979,1,0.229,0,-5,-0.771
0.15065,1,0.23,0,-5,-0.77
0.15152,1,0.231,0,-5,-0.769
0.15238,1,0.232,0,-5,-0.768
0.15325,1,0.233,0,-5,-0.767
0.15411,1,0.234,0,-5,-0.766
0.15498,1,0.235,0,-5,-0.765
0.15584,1,0.236,0,-5,-0.764
0.15671,1,0.237,0,-5,-0.763
0.15757,1,0.238,0,-5,-0.762
0.15844,1,0.239,0,-5,-0.761
0.1593,1,0.24,0,-5,-0.76
0.16017,1,0.241,0,-5,-0.759
0.16103,1,0.242,0,-5,-0.758
0.1619,1,0.243,0,-5,-0.757
0.16276,1,0.244,0,-5,-0.756
0.16363,1,0.245,0,-5,-0.755
0.16449,1,0.246,0,-5,-0.754
0.16536,1,0.247,0,-5,-0.753
0.16622,1,0.248,0,-5,-0.752
0.16709,1,0.249,0,-5,-0.751
0.16796,1,0.25,0,-5,-0.75
0.1689,1,0.251,0,-5,-0.749
0.16983,1,0.252,0,-5,-0.748
0.17076,1,0.253,0,-5,-0.747
0.17169,1,0.254,0,-5,-0.746
0.17262,1,0.255,0,-5,-0.745
0.17355,1,0.256,0,-5,-0.744
0.17448,1,0.257,0,-5,-0.743
0.17541,1,0.258,0,-5,-0.742
0.17634,1,0.259,0,-5,-0.741
0.17727,1,0.26,0,-5,-0.74
0.17821,1,0.261,0,-5,-0.739
0.17914,1,0.262,0,-5,-0.738
0.18007,1,0.263,0,-5,-0.737
0.181,1,0.264,0,-5,-0.736
0.18193,1,0.265,0,-5,-0.735
0.18286,1,0.266,0,-5,-0.734
0.18379,1,0.267,0,-5,-0.733
0.18472,1,0.268,0,-5,-0.732
0.18565,1,0.269,0,-5,-0.731
0.18659,1,0.27,0,-5,-0.73
0.18752,1,0.271,0,-5,-0.729
0.18845,1,0.272,0,-5,-0.728
0.18938,1,0.273,0,-5,-0.727
0.19031,1,0.274,0,-5,-0.726
0.19124,1,0.275,0,-5,-0.725
0.19217,1,0.276,0,-5,-0.724
0.1931,1,0.277,0,-5,-0.723
0.19403,1,0.278,0,-5,-0.722
0.19497,1,0.279,0,-5,-0.721
0.1959,1,0.28,0,-5,-0.72
0.19683,1,0.281,0,-5,-0.719
0.19776,1,0.282,0,-5,-0.718
0.19869,1,0.283,0,-5,-0.717
0.19962,1,0.284,0,-5,-0.716
0.20055,1,0.285,0,-5,-0.715
0.20148,1,0.286,0,-5,-0.714
0.20241,1,0.287,0,-5,-0.713
0.20335,1,0.288,0,-5,-0.712
0.20428,1,0.289,0,-5,-0.711
0.20521,1,0.29,0,-5,-0.71
0.20614,1,0.291,0,-5,-0.709
0.20707,1,0.292,0,-5,-0.708
0.208,1,0.293,0,-5,-0.707
0.20893,1,0.294,0,-5,-0.706
0.20986,1,0.295,0,-5,-0.705
0.21079,1,0.296,0,-5,-0.704
0.21173,1,0.297,0,-5,-0.703
0.21266,1,0.298,0,-5,-0.702
0.21359,1,0.299,0,-5,-0.701
0.21453,1,0.3,0,-5,-0.7
0.21543,1,0.301,0,-5,-0.699
0.21633,1,0.302,0,-5,-0.698
0.21723,1,0.303,0,-5,-0.697
0.21813,1,0.304,0,-5,-0.696
0.21903,1,0.305,0,-5,-0.695
0.21993,1,0.306,0,-5,-0.694
0.22083,1,0.307,0,-5,-0.693
0.22173,1,0.308,0,-5,-0.692
0.22263,1,0.309,0,-5,-0.691
0.22353,1,0.31,0,-5,-0.69
0.22442,1,0.311,0,-5,-0.689
0.22532,1,0.312,0,-5,-0.688
0.22622,1,0.313,0,-5,-0.687
0.22712,1,0.314,0,-5,-0.686
0.22802,1,0.315,0,-5,-0.685
0.22892,1,0.316,0,-5,-0.684
0.22982,1,0.317,0,-5,-0.683
0.23072,1,0.318,0,-5,-0.682
0.23162,1,0.319,0,-5,-0.681
0.23252,1,0.32,0,-5,-0.68
0.23342,1,0.321,0,-5,-0.679
0.23432,1,0.322,0,-5,-0.678
0.23522,1,0.323,0,-5,-0.677
0.23612,1,0.324,0,-5,-0.676
0.23702,1,0.325,0,-5,-0.675
0.23792,1,0.326,0,-5,-0.674
0.23881,1,0.327,0,-5,-0.673
0.23971,1,0.328,0,-5,-0.672
0.24061,1,0.329,0,-5,-0.671
0.24151,1,0.33,0,-5,-0.67
0.24241,1,0.331,0,-5,-0.669
0.24331,1,0.332,0,-5,-0.668
0.24421,1,0.333,0,-5,-0.667
0.24511,1,0.334,0,-5,-0.666
0.24601,1,0.335,0,-5,-0.665
0.24691,1,0.336,0,-5,-0.664
0.24781,1,0.337,0,-5,-0.663
0.24871,1,0.338,0,-5,-0.662
0.24961,1,0.339,0,-5,-0.661
0.25051,1,0.34,0,-5,-0.66
0.25141,1,0.341,0,-5,-0.659
0.2523,1,0.342,0,-5,-0.658
0.2532,1,0.343,0,-5,-0.657
0.2541,1,0.344,0,-5,-0.656
0.255,1,0.345,0,-5,-0.655
0.2559,1,0.346,0,-5,-0.654
0.2568,1,0.347,0,-5,-0.653
0.2577,1,0.348,0,-5,-0.652
0.2586,1,0.349,0,-5,-0.651
0.25951,1,0.35,0,-5,-0.65
0.26027,1,0.351,0,-5,-0.649
0.26102,1,0.352,0,-5,-0.648
0.26178,1,0.353,0,-5,-0.647
0.26253,1,0.354,0,-5,-0.646
0.26329,1,0.355,0,-5,-0.645
0.26404,1,0.356,0,-5,-0.644
0.2648,1,0.357,0,-5,-0.643
0.26555,1,0.358,0,-5,-0.642
0.26631,1,0.359,0,-5,-0.641
0.26706,1,0.36,0,-5,-0.64
0.26782,1,0.361,0,-5,-0.639
0.26857,1,0.362,0,-5,-0.638
0.26933,1,0.363,0,-5,-0.637
0.27008,1,0.364,0,-5,-0.636
0.27084,1,0.365,0,-5,-0.635
0.27159,1,0.366,0,-5,-0.634
0.27234,1,0.367,0,-5,-0.633
0.2731,1,0.368,0,-5,-0.632
0.27385,1,0.369,0,-5,-0.631
0.27461,1,0.37,0,-5,-0.63
0.27536,1,0.371,0,-5,-0.629
0.27612,1,0.372,0,-5,-0.628
0.27687,1,0.373,0,-5,-0.627
0.27763,1,0.374,0,-5,-0.626
0.27838,1,0.375,0,-5,-0.625
0.27914,1,0.376,0,-5,-0.624
0.27989,1,0.377,0,-5,-0.623
0.28065,1,0.378,0,-5,-0.622
0.2814,1,0.379,0,-5,-0.621
0.28216,1,0.38,0,-5,-0.62
0.28291,1,0.381,0,-5,-0.619
0.28367,1,0.382,0,-5,-0.618
0.28442,1,0.383,0,-5,-0.617
0.28518,1,0.384,0,-5,-0.616
0.28593,1,0.385,0,-5,-0.615
0.28669,1,0.386,0,-5,-0.614
0.28744,1,0.387,0,-5,-0.613
0.2882,1,0.388,0,-5,-0.612
0.28895,1,0.389,0,-5,-0.611
0.28971,1,0.39,0,-5,-0.61
0.29046,1,0.391,0,-5,-0.609
0.29121,1,0.392,0,-5,-0.608
0.29197,1,0.393,0,-5,-0.607
0.29272,1,0.394,0,-5,-0.606
0.29348,1,0.395,0,-5,-0.605
0.29423,1,0.396,0,-5,-0.604
0.29499,1,0.397,0,-5,-0.603
0.29574,1,0.398,0,-5,-0.602
0.2965,1,0.399,0,-5,-0.601
0.29727,1,0.4,0,-5,-0.6
0.29777,1,0.401,0,-5,-0.599
0.29827,1,0.402,0,-5,-0.598
0.29878,1,0.403,0,-5,-0.597
0.29928,1,0.404,0,-5,-0.596
0.29979,1,0.405,0,-5,-0.595
0.30029,1,0.406,0,-5,-0.594
0.30079,1,0.407,0,-5,-0.593
0.3013,1,0.408,0,-5,-0.592
0.3018,1,0.409,0,-5,-0.591
