"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0054853,0,-5.0936e-024,10,1,0,0,0,-1
-0.0067344,0,3.0586e-010,10,1,0.00099999,0,0,-0.999
-0.0079835,0,6.1171e-010,10,1,0.002,0,0,-0.998
-0.0092326,0,9.1759e-010,10,1,0.003,0,0,-0.997
-0.010482,0,1.2234e-009,10,1,0.004,0,0,-0.996
-0.011731,0,1.5293e-009,10,1,0.005,0,0,-0.995
-0.01298,0,1.8352e-009,10,1,0.006,0,0,-0.994
-0.014229,0,2.141e-009,10,1,0.007,0,0,-0.993
-0.015478,0,2.4469e-009,10,1,0.008,0,0,-0.992
-0.016727,0,2.7527e-009,10,1,0.009,0,0,-0.991
-0.017976,0,3.0586e-009,10,1,0.01,0,0,-0.99
-0.019226,0,3.3645e-009,10,1,0.011,0,0,-0.989
-0.020475,0,3.6703e-009,10,1,0.012,0,0,-0.988
-0.021724,0,3.9762e-009,10,1,0.013,0,0,-0.987
-0.022973,0,4.282e-009,10,1,0.014,0,0,-0.986
-0.024222,0,4.5879e-009,10,1,0.015,0,0,-0.985
-0.025471,0,4.8938e-009,10,1,0.016,0,0,-0.984
-0.02672,0,5.1996e-009,10,1,0.017,0,0,-0.983
-0.027969,0,5.5055e-009,10,1,0.018,0,0,-0.982
-0.029218,0,5.8113e-009,10,1,0.019,0,0,-0.981
-0.030468,0,6.1172e-009,10,1,0.02,0,0,-0.98
-0.031717,0,6.4231e-009,10,1,0.021,0,0,-0.979
-0.032966,0,6.7289e-009,10,1,0.022,0,0,-0.978
-0.034215,0,7.0348e-009,10,1,0.023,0,0,-0.977
-0.035464,0,7.3406e-009,10,1,0.024,0,0,-0.976
-0.036713,0,7.6465e-009,10,1,0.025,0,0,-0.975
-0.037962,0,7.9524e-009,10,1,0.026,0,0,-0.974
-0.039211,0,8.2582e-009,10,1,0.027,0,0,-0.973
-0.040461,0,8.5641e-009,10,1,0.028,0,0,-0.972
-0.04171,0,8.8699e-009,10,1,0.029,0,0,-0.971
-0.042959,0,9.1758e-009,10,1,0.03,0,0,-0.97
-0.044208,0,9.4817e-009,10,1,0.031,0,0,-0.969
-0.045457,0,9.7875e-009,10,1,0.032,0,0,-0.968
-0.046706,0,1.0093e-008,10,1,0.033,0,0,-0.967
-0.047955,0,1.0399e-008,10,1,0.034,0,0,-0.966
-0.049204,0,1.0705e-008,10,1,0.035,0,0,-0.965
-0.050453,0,1.1011e-008,10,1,0.036,0,0,-0.964
